07:39:10.490 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
07:49:10.490 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
07:49:10.493 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
07:59:10.492 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
07:59:10.495 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:09:10.494 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:09:10.504 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:19:10.496 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:19:10.499 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:29:10.498 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:29:10.501 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:39:10.501 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:39:10.505 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:49:10.503 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:49:10.506 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
08:59:10.504 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
08:59:10.508 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:09:10.507 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:09:10.510 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:19:10.509 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:19:10.512 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:29:10.511 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:29:10.514 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:39:10.513 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:39:10.516 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:45:14.336 [pool-2-thread-2] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
09:45:14.371 [pool-2-thread-4] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
09:45:14.437 [pool-2-thread-2] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
09:45:14.442 [pool-2-thread-4] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
09:45:14.438 [pool-2-thread-2] INFO  sys-user - [run,111] - [127.0.0.1]XX 内网IP[admin][Success][登录成功]
09:45:14.449 [pool-2-thread-2] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
09:45:44.599 [pool-2-thread-2] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
09:49:10.514 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:49:10.517 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
09:50:52.441 [pool-2-thread-3] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
09:50:52.551 [pool-2-thread-3] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
09:59:10.515 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
09:59:10.518 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
10:06:23.109 [pool-2-thread-5] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
10:06:23.193 [pool-2-thread-5] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
10:07:03.230 [pool-2-thread-1] INFO  c.d.c.u.h.HttpUtils - [sendPost,141] - sendPost - http://ip.taobao.com/service/getIpInfo.php?ip=127.0.0.1
10:07:03.324 [pool-2-thread-1] INFO  c.d.c.u.h.HttpUtils - [sendPost,160] - recv - {"code":0,"data":{"ip":"127.0.0.1","country":"XX","area":"","region":"XX","city":"内网IP","county":"内网IP","isp":"内网IP","country_id":"xx","area_id":"","region_id":"xx","city_id":"local","county_id":"local","isp_id":"local"}}
10:07:03.377 [DatcentScheduler_Worker-1] INFO  c.d.p.m.j.u.ScheduleJob - [executeInternal,53] - 任务开始执行 - 名称：CheckTask 方法：checkCase
10:07:03.980 [pool-4-thread-1] INFO  i.l.c.EpollProvider - [info,101] - Starting without optional epoll library
10:07:03.985 [pool-4-thread-1] INFO  i.l.c.KqueueProvider - [info,101] - Starting without optional kqueue library
10:11:56.165 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,88] - invalidation sessions...
10:11:57.215 [pool-1-thread-1] INFO  c.d.f.s.w.s.OnlineWebSessionManager - [validateSessions,147] - Finished invalidation session. No sessions were stopped.
10:12:02.377 [Thread-68] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562834921087 paused.
10:12:02.423 [Thread-68] INFO  o.q.c.QuartzScheduler - [shutdown,666] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562834921087 shutting down.
10:12:02.423 [Thread-68] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562834921087 paused.
10:12:02.430 [Thread-68] INFO  o.q.c.QuartzScheduler - [shutdown,740] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562834921087 shutdown complete.
10:12:23.630 [restartedMain] INFO  c.d.Application - [logStarting,50] - Starting Application on WQ-20180902UAPD with PID 1260 (G:\nanyang\Supervise\target\classes started by Administrator in G:\nanyang\Supervise)
10:12:23.640 [restartedMain] INFO  c.d.Application - [logStartupProfileInfo,666] - The following profiles are active: pro
10:12:31.774 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,158] - Cache with name 'com.datcent.framework.shiro.realm.UserRealm.authorizationCache' does not yet exist.  Creating now.
10:12:31.775 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,165] - Added EhCache named [com.datcent.framework.shiro.realm.UserRealm.authorizationCache]
10:12:33.571 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,169] - Using existing EHCache named [loginRecordCache]
10:12:35.326 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-80"]
10:12:35.359 [restartedMain] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
10:12:35.360 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.32
10:12:35.367 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Program Files\Java\jdk1.8.0_101\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;G:\apache-maven-3.5.4\bin;D:\Program Files\Java\jdk1.8.0_101/bin;D:\Program Files\Java\jdk1.8.0_101/jre/bin;G:\svn\bin;G:\TortoiseSVN\bin;G:\apache-tomcat-8.5.35\bin;G:\apache-tomcat-8.5.35\lib;C:\Program Files (x86)\OpenVPN\bin;.]
10:12:35.735 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
10:12:36.951 [restartedMain] INFO  c.a.d.p.DruidDataSource - [init,1002] - {dataSource-1} inited
10:12:38.149 [restartedMain] INFO  o.a.e.i.ProcessEngineImpl - [<init>,85] - ProcessEngine default created
10:12:38.151 [restartedMain] INFO  o.a.e.i.a.AbstractAsyncJobExecutor - [start,119] - Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
10:12:38.153 [Thread-40] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable - [run,45] - starting to acquire async jobs due
10:12:38.153 [Thread-39] INFO  o.a.e.i.a.AcquireTimerJobsRunnable - [run,45] - starting to acquire async jobs due
10:12:40.753 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1208] - Using default implementation for ThreadExecutor
10:12:40.773 [restartedMain] INFO  o.q.c.SchedulerSignalerImpl - [<init>,61] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
10:12:40.774 [restartedMain] INFO  o.q.c.QuartzScheduler - [<init>,229] - Quartz Scheduler v.2.3.0 created.
10:12:40.784 [restartedMain] INFO  o.q.c.QuartzScheduler - [initialize,294] - Scheduler meta-data: Quartz Scheduler (v2.3.0) 'DatcentScheduler' with instanceId 'WQ-20180902UAPD1562897560755'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

10:12:40.785 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1362] - Quartz scheduler 'DatcentScheduler' initialized from an externally provided properties instance.
10:12:40.785 [restartedMain] INFO  o.q.i.StdSchedulerFactory - [instantiate,1366] - Quartz scheduler version: 2.3.0
10:12:40.788 [restartedMain] INFO  o.q.c.QuartzScheduler - [setJobFactory,2287] - JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@3bafc0ec
10:12:46.447 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - [initHandlerMethods,69] - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
10:12:51.644 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - [start,147] - Context refreshed
10:12:51.738 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - [start,150] - Found 1 custom documentation plugin(s)
10:12:52.641 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - [scan,41] - Scanning for api listing references
10:12:53.141 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Starting ProtocolHandler ["http-nio-80"]
10:12:53.162 [restartedMain] INFO  o.a.t.u.n.NioSelectorPool - [log,180] - Using a shared selector for servlet write/read
10:12:53.207 [restartedMain] INFO  c.d.Application - [logStarted,59] - Started Application in 30.578 seconds (JVM running for 33.293)
10:12:54.171 [Quartz Scheduler [DatcentScheduler]] INFO  o.q.c.QuartzScheduler - [start,547] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562897560755 started.
10:22:39.706 [Thread-74] INFO  o.q.c.QuartzScheduler - [standby,585] - Scheduler DatcentScheduler_$_WQ-20180902UAPD1562897560755 paused.
10:23:19.700 [restartedMain] INFO  c.d.Application - [logStarting,50] - Starting Application on WQ-20180902UAPD with PID 3308 (G:\nanyang\Supervise\target\classes started by Administrator in G:\nanyang\Supervise)
10:23:19.708 [restartedMain] INFO  c.d.Application - [logStartupProfileInfo,666] - The following profiles are active: pro
10:23:29.104 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,158] - Cache with name 'com.datcent.framework.shiro.realm.UserRealm.authorizationCache' does not yet exist.  Creating now.
10:23:29.110 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,165] - Added EhCache named [com.datcent.framework.shiro.realm.UserRealm.authorizationCache]
10:23:31.351 [restartedMain] INFO  o.a.s.c.e.EhCacheManager - [getCache,169] - Using existing EHCache named [loginRecordCache]
10:23:33.337 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-80"]
